"age_group","Sex_B01ID","mMETs","IndividualID","sum_MMETh","total_mmet"
" 30 - 39 ",1,0,2012000003,0,0
" 30 - 39 ",2,0,2012000004,0,0
" 40 - 49 ",2,0,2012000005,14.4,14.4
" 40 - 49 ",1,3.66,2012000006,16.84,20.5
" 60 - 64 ",1,0,2012000008,18.02,18.02
"18",2,1.25,2012000009,0,1.25
" 40 - 49 ",2,0,2012000010,0,0
" 70 - 74 ",1,12.25,2012000012,0,12.25
" 65 - 69 ",2,0,2012000013,0,0
" 70 - 74 ",1,0,2012000014,0,0
" 30 - 39 ",2,9.16,2012000015,0,9.16
" 80 - 84 ",1,0,2012000019,0,0
" 75 - 79 ",2,5.25,2012000020,0,5.25
" 70 - 74 ",1,0,2012000022,0,0
" 50 - 59 ",1,0,2012000023,4.2,4.2
" 30 - 39 ",2,1.25,2012000024,4.2,5.45
" 50 - 59 ",2,35,2012000026,0,35
" 50 - 59 ",1,0,2012000027,0,0
" 40 - 49 ",2,0,2012000028,14.7,14.7
" 40 - 49 ",1,15.75,2012000029,4.5,20.25
" 60 - 64 ",1,0,2012000033,0,0
" 65 - 69 ",2,53.75,2012000034,0,53.75
" 85  +",2,0,2012000035,0,0
" 65 - 69 ",1,0,2012000036,24.61,24.61
" 26 - 29 ",1,93.75,2012000037,0,93.75
" 50 - 59 ",2,0,2012000038,0,0
" 21 - 25 ",2,2.83,2012000039,0,2.83
" 60 - 64 ",2,3.5,2012000041,21.6,25.1
" 65 - 69 ",1,0,2012000042,0,0
" 30 - 39 ",2,0,2012000044,0,0
" 30 - 39 ",2,4.93,2012000047,15.82,20.75
" 26 - 29 ",2,0,2012000048,0,0
" 40 - 49 ",1,40.25,2012000049,0,40.25
" 85  +",1,0,2012000050,7.2,7.2
" 70 - 74 ",2,0,2012000051,1.5,1.5
" 21 - 25 ",1,10,2012000052,13.6,23.6
" 26 - 29 ",2,12.83,2012000053,9.6,22.43
" 30 - 39 ",2,0,2012000057,10.88,10.88
" 30 - 39 ",2,7.5,2012000058,2.1,9.6
" 40 - 49 ",1,9.62,2012000059,8.84,18.46
" 40 - 49 ",1,12.25,2012000060,28.56,40.81
" 40 - 49 ",2,34.87,2012000061,3.36,38.23
" 21 - 25 ",1,0,2012000062,9.02,9.02
" 50 - 59 ",1,0,2012000067,3.9,3.9
" 40 - 49 ",2,0,2012000068,0,0
" 80 - 84 ",1,0,2012000070,19.8,19.8
" 26 - 29 ",1,24,2012000071,12.5,36.5
" 30 - 39 ",2,1.16,2012000072,16.84,18
" 50 - 59 ",1,0,2012000073,12.6,12.6
" 85  +",1,42.43,2012000074,0,42.43
" 30 - 39 ",1,53.25,2012000075,12,65.25
" 30 - 39 ",2,3.75,2012000076,2.4,6.15
" 40 - 49 ",2,0,2012000079,0,0
"20",2,0,2012000080,4.62,4.62
" 70 - 74 ",2,5.25,2012000081,0,5.25
" 75 - 79 ",1,0,2012000082,0.96,0.96
" 26 - 29 ",2,18.75,2012000083,1.5,20.25
" 30 - 39 ",1,6,2012000084,8.31,14.31
" 75 - 79 ",1,4.08,2012000085,15.6,19.68
" 75 - 79 ",2,0,2012000086,18,18
" 50 - 59 ",1,50.41,2012000087,0,50.41
" 50 - 59 ",2,5,2012000088,0,5
" 21 - 25 ",1,0,2012000089,0,0
" 40 - 49 ",2,24.75,2012000090,0,24.75
"19",2,19.37,2012000091,12.63,32
" 75 - 79 ",1,0,2012000095,0,0
" 65 - 69 ",1,0,2012000096,7.2,7.2
" 40 - 49 ",2,0,2012000097,7.2,7.2
" 60 - 64 ",1,21,2012000098,0,21
" 50 - 59 ",2,0,2012000099,0,0
" 75 - 79 ",1,0,2012000100,0,0
" 70 - 74 ",2,0,2012000101,0,0
" 30 - 39 ",2,7,2012000102,14.88,21.88
" 30 - 39 ",1,5.75,2012000103,0,5.75
" 50 - 59 ",1,0,2012000106,4.56,4.56
" 50 - 59 ",1,12.75,2012000107,0,12.75
" 50 - 59 ",2,0,2012000108,0,0
" 30 - 39 ",1,39.5,2012000109,0,39.5
" 30 - 39 ",2,16.75,2012000110,0.9,17.65
" 60 - 64 ",2,0,2012000113,17.46,17.46
" 50 - 59 ",2,5,2012000114,4.2,9.2
" 50 - 59 ",2,3.5,2012000115,24.84,28.34
" 75 - 79 ",2,5,2012000116,11.4,16.4
" 50 - 59 ",2,0,2012000117,0,0
" 50 - 59 ",1,8.79,2012000118,0,8.79
" 65 - 69 ",2,0,2012000119,14.4,14.4
" 60 - 64 ",1,8.75,2012000120,1.8,10.55
" 50 - 59 ",2,0,2012000121,1.8,1.8
" 50 - 59 ",1,0,2012000122,0,0
" 40 - 49 ",2,0,2012000123,0,0
" 26 - 29 ",2,0,2012000126,0,0
" 26 - 29 ",1,23.33,2012000127,0,23.33
" 50 - 59 ",2,31.5,2012000129,0,31.5
" 60 - 64 ",1,0,2012000130,0,0
" 30 - 39 ",2,5.75,2012000131,4.8,10.55
" 40 - 49 ",2,13.75,2012000132,0,13.75
" 40 - 49 ",1,8.33,2012000133,0,8.33
" 60 - 64 ",1,0,2012000137,4.2,4.2
" 21 - 25 ",1,116.68,2012000138,13.2,129.88
" 26 - 29 ",2,0,2012000139,0,0
" 40 - 49 ",1,0,2012000140,2.7,2.7
" 21 - 25 ",1,0.58,2012000144,14.4,14.98
" 21 - 25 ",1,0,2012000145,14.4,14.4
" 60 - 64 ",2,0,2012000147,0,0
" 60 - 64 ",1,0,2012000148,0,0
" 30 - 39 ",2,0,2012000149,33.6,33.6
" 30 - 39 ",1,1.16,2012000150,0,1.16
" 30 - 39 ",2,0,2012000152,0,0
" 30 - 39 ",1,8.75,2012000153,0,8.75
" 75 - 79 ",1,40,2012000155,0,40
" 70 - 74 ",2,6.25,2012000156,0,6.25
" 60 - 64 ",2,0,2012000161,0,0
" 60 - 64 ",1,0,2012000162,0,0
" 30 - 39 ",2,5.25,2012000163,5.4,10.65
" 30 - 39 ",2,0,2012000164,0,0
" 40 - 49 ",1,0,2012000165,0,0
" 75 - 79 ",2,1.75,2012000168,0,1.75
" 40 - 49 ",2,0,2012000169,1.08,1.08
" 80 - 84 ",2,0,2012000170,0,0
" 65 - 69 ",2,1.75,2012000171,0,1.75
" 50 - 59 ",2,4.37,2012000172,0,4.37
" 70 - 74 ",2,0,2012000173,4.8,4.8
" 50 - 59 ",2,5.5,2012000174,0,5.5
" 60 - 64 ",1,22.87,2012000175,0,22.87
" 50 - 59 ",1,21,2012000176,0,21
" 50 - 59 ",2,7.5,2012000177,0,7.5
" 65 - 69 ",1,0,2012000178,0,0
" 65 - 69 ",2,12.31,2012000179,9.6,21.91
" 50 - 59 ",1,0,2012000180,0,0
" 60 - 64 ",2,13.75,2012000181,7.2,20.95
