Variable name,Variable Description
geo_code,Zone code
geo_name,Zone name
lad11cd,Local authoriy (2011) code
lad_name,Local authoriy (2011) name
all,Total no. commuters
bicycle,No. cyclists in Census 2011
foot,No. pedestrians in Census 2011
car_driver,No. car drivers in Census 2011
car_passenger,No. car passengers in Census 2011
motorbike,No. motorbikers in Census 2011
train_tube,"No. train, underground and light rail users in Census 2011"
bus,No. bus users in Census 2011
taxi_other,No. taxi and other transport users in Census 2011
govtarget_slc,No. cyclists in Government Target (equality)
govtarget_sic,Increase no. cyclists in Government Target (equality) vs. Census 2011
govtarget_slw,No. pedestrians in Government Target (equality)
govtarget_siw,Increase no. pedestrians in Government Target (equality) vs. Census 2011
govtarget_sld,No. car drivers in Government Target (equality)
govtarget_sid,Increase no. car drivers in Government Target (equality) vs. Census 2011
govnearmkt_slc,No. cyclists in Government Target (near market)
govnearmkt_sic,Increase no. cyclists in Government Target (near market) vs. Census 2011
govnearmkt_slw,No. pedestrians in Government Target (near market)
govnearmkt_siw,Increase no. pedestrians in Government Target (near market) vs. Census 2011
govnearmkt_sld,No. car drivers in Government Target (near market)
govnearmkt_sid,Increase no. car drivers in Government Target (near market) vs. Census 2011
gendereq_slc,No. cyclists in Gender Equality
gendereq_sic,Increase no. cyclists in Gender Equality vs. Census 2011
gendereq_slw,No. pedestrians in Gender Equality
gendereq_siw,Increase no. pedestrians in Gender Equality vs. Census 2011
gendereq_sld,No. car drivers in Gender Equality
gendereq_sid,Increase no. car drivers in Gender Equality vs. Census 2011
dutch_slc,No. cyclists in Go Dutch
dutch_sic,Increase no. cyclists in Go Dutch vs. Census 2011
dutch_slw,No. pedestrians in Go Dutch
dutch_siw,Increase no. pedestrians in Go Dutch vs. Census 2011
dutch_sld,No. car drivers in Go Dutch
dutch_sid,Increase no. car drivers in Go Dutch vs. Census 2011
ebike_slc,No. cyclists in Ebikes
ebike_sic,Increase no. cyclists in Ebikes vs. Census 2011
ebike_slw,No. pedestrians in Ebikes
ebike_siw,Increase no. pedestrians in Go Dutch vs. Census 2011
ebike_sld,No. car drivers in Ebikes
ebike_sid,Increase no. car drivers in Ebikes vs. Census 2011
govtarget_sldeath_tag,Change in deaths/year in Government Target (equality) versus 'no cycling'
govtarget_slyll_tag,Change in Years of Life Lost (YLLs)/year in Government Target (equality) versus 'no cycling'
govtarget_slvalue_tag,Value (pounds) of change in Years of Life Lost in Government Target (equality) versus 'no cycling' 
govtarget_sideath_tag,Change in deaths/year in Government Target (equality) versus Census 2011
govtarget_siyll_tag,Change in Years of Life Lost (YLLs)/year in Government Target (equality) versus Census 2011
govtarget_sivalue_tag,Value (pounds) of change in Years of Life Lost in Government Target (equality) versus Census 2011
govnearmkt_sldeath_tag,Change in deaths/year in Government Target (near market) versus 'no cycling'
govnearmkt_slyll_tag,Change in Years of Life Lost (YLLs)/year in Government Target (near market) versus 'no cycling'
govnearmkt_slvalue_tag,Value (pounds) of change in Years of Life Lost in Government Target (near market) versus 'no cycling' 
govnearmkt_sideath_tag,Change in deaths/year in Government Target (near market) versus Census 2011
govnearmkt_siyll_tag,Change in Years of Life Lost (YLLs)/year in Government Target (near market) versus Census 2011
govnearmkt_sivalue_tag,Value (pounds) of change in Years of Life Lost in Government Target (near market) versus Census 2011
gendereq_sldeath_tag,Change in deaths/year in Gender Equality versus 'no cycling'
gendereq_slyll_tag,Change in Years of Life Lost (YLLs)/year in Gender Equality versus 'no cycling'
gendereq_slvalue_tag,Value (pounds) of change in Years of Life Lost in Gender Equality versus 'no cycling' 
gendereq_sideath_tag,Change in deaths/year in Gender Equality versus Census 2011
gendereq_siyll_tag,Change in Years of Life Lost (YLLs)/year in Gender Equality versus Census 2011
gendereq_sivalue_tag,Value (pounds) of change in Years of Life Lost in Gender Equality versus Census 2011
dutch_sldeath_tag,Change in deaths/year in Go Dutch versus 'no cycling'
dutch_slyll_tag,Change in Years of Life Lost (YLLs)/year in Go Dutch versus 'no cycling'
dutch_slvalue_tag,Value (pounds) of change in Years of Life Lost in Go Dutch versus 'no cycling' 
dutch_sideath_tag,Change in deaths/year in Go Dutch versus Census 2011
dutch_siyll_tag,Change in Years of Life Lost (YLLs)/year in Go Dutch versus Census 2011
dutch_sivalue_tag,Value (pounds) of change in Years of Life Lost in Go Dutch versus Census 2011
ebike_sldeath_tag,Change in deaths/year in Ebikes versus 'no cycling'
ebike_slyll_tag,Change in Years of Life Lost (YLLs)/year in Ebikes versus 'no cycling'
ebike_slvalue_tag,Value (pounds) of change in Years of Life Lost in Ebikes versus 'no cycling' 
ebike_sideath_tag,Change in deaths/year in Ebikes versus Census 2011
ebike_siyll_tag,Change in Years of Life Lost (YLLs)/year in Ebikes versus Census 2011
ebike_sivalue_tag,Value (pounds) of change in Years of Life Lost in Ebikes versus Census 2011
govtarget_slco2,Change in CO2/year (kg) in Government Target (equality) versus 'no cycling'
govtarget_sico2,Change in CO2/year (kg) in Government Target (equality) versus Census 2011
govnearmkt_slco2,Change in CO2/year (kg) in Government Target (near market) versus 'no cycling'
govnearmkt_sico2,Change in CO2/year (kg) in Government Target (near market) versus Census 2011
gendereq_slco2,Change in CO2/year (kg) in Gender Equality versus 'no cycling'
gendereq_sico2,Change in CO2/year (kg) in Gender Equality versus Census 2011
dutch_slco2,Change in CO2/year (kg) in Go Dutch versus 'no cycling'
dutch_sico2,Change in CO2/year (kg) in Go Dutch versus Census 2011
ebike_slco2,Change in CO2/year (kg) in Ebikes versus 'no cycling'
ebike_sico2,Change in CO2/year (kg) in Ebikes versus Census 2011
