Variable name,Variable Description
urn, School URN (unique reference number)
schoolname,school name
phase,"School phase of education, as designated by the School Census"
secondary ,School classification into secondary (1) versus primary/early years (0)
lsoa11cd,LSOA (2011) code
lsoa11nm,LSOA (2011) name
lad11cd,Local authoriy (2011) code
lad_name,Local authoriy (2011) name
all,Total no. children
bicycle,No. cyclists in School Census 2011
foot,No. pedestrians in School Census 2011
car,No. car drivers in School Census 2011
other,No. other transport users in School Census 2011
govtarget_slc,No. cyclists in Government Target
govtarget_sic,Increase no. cyclists in Government Target vs. School Census 2011
govtarget_slw,No. pedestrians in Government Target
govtarget_siw,Increase no. pedestrians in Government Target vs. School Census 2011
govtarget_sld,No. car drivers in Government Target
govtarget_sid,Increase no. car drivers in Government Target vs. School Census 2011
dutch_slc,No. cyclists in Go Dutch
dutch_sic,Increase no. cyclists in Go Dutch vs. School Census 2011
dutch_slw,No. pedestrians in Go Dutch
dutch_siw,Increase no. pedestrians in Go Dutch vs. School Census 2011
dutch_sld,No. car drivers in Go Dutch
dutch_sid,Increase no. car drivers in Go Dutch vs. School Census 2011
govtarget_slmmet,Change in mean marginal METs per child in Government Target versus 'no cycling'
govtarget_simmet,Change in mean marginal METs per child in Government Target versus School Census 2011
dutch_slmmet,Change in mean marginal METs per child in Go Dutch versus 'no cycling'
dutch_simmet,Change in mean marginal METs per child in Go Dutch versus School Census 2011
govtarget_slco2,Change in CO2/year (kg) in Government Target versus 'no cycling'
govtarget_sico2,Change in CO2/year (kg) in Government Target versus School Census 2011
dutch_slco2,Change in CO2/year (kg) in Go Dutch versus 'no cycling'
dutch_sico2,Change in CO2/year (kg) in Go Dutch versus School Census 2011
perc_rf_dist_u5km,Percent of commuters in zone with fast route commute distance <10km [calculated excluding trips with no fixed work place]
avslope_perc_u5km,Average fast route gradient (%) of commute trips in zone with fast route distance <10km
