Variable name,Variable Description
id,Start and end zones
geo_code1,"Start or end zone 1, zone code"
geo_code2,"Start or end zone 2, zone code"
geo_name1,"Start or end zone 1, zone name"
geo_name2,"Start or end zone 2, zone name"
all,Total no. children
bicycle,No. cyclists in School Census 2011
foot,No. pedestrians in School Census 2011
car,No. car drivers in School Census 2011
other,No. other transport users in School Census 2011
unknown,No.  transport users using an unknown mode in School Census 2011
govtarget_slc,No. cyclists in Government Target
dutch_slc,No. cyclists in Go Dutch
